cand_id,district,name,incumbent_status,party,camp_fb,gov_fb,camp_twitter,gov_twitter,website
0001,AL-2,Nathan Mathis,N,Democrat,?,n/a,?,n/a,?
0002,AL-3,Jesse Smith,N,Democrat,JesseSmithforCongress,n/a,jt4congress2016,n/a,http://www.JesseSmithForCongress.com
0003,AL-5,Will Boyd,N,Democrat,?,n/a,wboyd4congress,n/a,http://willboydforcongress.com
0004,AL-6,David Putman,N,Democrat,PutmanForCongress,n/a,putmanforcongr1,n/a,http://DavidJPutmanforCongress.com
0005,AR-1,Mark West ,N,Libertarian,vote4MarkWestUSHouseARD1,n/a,MarkWest4D1,n/a,http://www.markwestforcongress.com
0006,AR-2,Dianne Curry,N,Democrat,curryforcongress,n/a,DianneCurryAR,n/a,http://diannecurry.com
0007,AR-2,Chris Hayes,N,Libertarian,'1696556403889082',n/a,Hayes4Congress,n/a,?
0008,AR-3,Steve Isaacson,N,Libertarian,isaacsonforcongress,n/a,steveIsaacson1,n/a,http://www.isaacsonforcongress.com
0009,AR-4,Kerry Hicks,N,Libertarian,kerryhicksforcongress,n/a,?,n/a,?
0010,CA-1,Jim Reed,N,Democrat,jimreedcongress,n/a,JimReedCongress,n/a,http://jimreed2016.com
0011,CA-2,Dale Mensing,N,Republican,gcdaleforcongress.org,n/a,?,n/a,https://www.theflamingarrow.com/
0012,CA-3,Eugene Cleek,N,Republican,CleekForCongress,n/a,Cleek4Congress,n/a,http://www.CleekForCongress.com
0013,CA-4,Bob Derlet,N,Democrat,derletforcongress,n/a,DerletBob,n/a,http://www.derletforcongress.com/
0014,CA-5,Carlos Santamaria,N,Republican,?,n/a,?,n/a,?
0015,CA-6,Robert Evans,N,Republican,evans4congress,n/a,evansforcongres,n/a,http://evans4congress.com
0016,CA-9,Antonia Amador,N,Republican,TonyAmador4Congress,n/a,?,n/a,http://www.amador4congress.com/
0017,CA-10,Michael Eggman,N,Democrat,eggmanforcongress,n/a,eggman4congress,n/a,http://www.eggmanforcongress.com
0018,CA-11,Roger Allen Petersen,N,Republican,?,n/a,?,n/a,http://www.petersenforcongress.com/
0019,CA-13,Sue Caro,N,Republican,?,n/a,SueCaro1,n/a,?
0020,CA-15,Danny Turner,N,Republican,DannyForTheHouse,n/a,dannyreidturner,n/a,http://www.DannyReidTurner.com
0021,CA-16,Johnny Tacherra,N,Republican,TacherraForCongress,n/a,Vote4Tacherra,n/a,http://www.JohnnyforCongress.com
0022,CA-17,Ro Khanna,N,Democrat,RoKhannaUSA,n/a,RoKhannaUSA,n/a,http://RoKhanna.com
0023,CA-18,Richard Fox,N,Republican,?,n/a,DrFox4Congress,n/a,http://drfoxfor2016.com/
0024,CA-19,G. Burt Lancaster,N,Republican,?,n/a,?,n/a,?
0025,CA-20,Jimmy Panetta,N,Democrat,JimmyPanettaForCongress,n/a,JimmyPanetta,n/a,http://jimmypanettaforcongress.com
0026,CA-20,Casey Lucius,N,Republican,caseyforcongress,n/a,VoteCaseyLucius,n/a,http://www.caseylucius.com
0027,CA-22,Louie Campos,N,Democrat,lc4cd22,n/a,?,n/a,?
0028,CA-23,Wendy Reed,N,Democrat,wendyreedforcongress,n/a,wendyreedtweet,n/a,http://www.wendyreedforcongress.com
0029,CA-24,Salud Carbajal,N,Democrat,CarbajalForCongress,n/a,carbajalsalud,n/a,http://www.saludcarbajal.com
0030,CA-25,Bryan Caforio,N,Democrat,BryanCaforio,n/a,BryanCaforio,n/a,http://bryancaforio.com
0031,CA-26,Rafael Dagnesses,N,Republican,Rafael4Congress,n/a,Rafael4Congress,n/a,http://www.RafaelForCongress.com
0032,CA-27,Jack Orswell,N,Republican,JackOrswell27,n/a,JackOrswell,n/a,http://JackOrswell.com
0033,CA-28,Lenore Solis,N,Democrat,?,n/a,?,n/a,?
0034,CA-30,Mark Reed,N,Republican,MarkReedForCongress2010,n/a,Markreed2014,n/a,http://www.MarkReedForCongress.com
0035,CA-31,Paul Chabot,N,Republican,PaulChabotCalifornia,n/a,DrPaulChabot,n/a,http://www.paulchabot.com
0036,CA-33,Kenneth Wright,N,Republican,drwright4congress,n/a,drwright4congr1,n/a,http://drwright4congress.com/
0037,CA-34,Adrienne Nicole Edwards,N,Democrat,AdrienneEdwardsforCongress,n/a,AdrienneNEdward,n/a,http://www.AdrienneEdwardsforCongress.com
0038,CA-35,Tyler Fischella,N,Democrat,TechCongressman,n/a,TechCongressman,n/a,http://www.tylerfischella.com/
0039,CA-36,Jeff Stone,N,Republican,JeffStoneCampaign,n/a,?,n/a,http://www.votejeffstone.com
